participant,Smit_Vloed,Mortier_Godenslaap,Appel_VanTweeKanten,Heijden_Tonio,Tex_Wachtwoord,Durlacher_Held,Dijkzeul_GoudenBergen,Dorrestein_Stiefmoeder,Hollander_Troostkind,Voskuil_Buurman,Enquist_Verdovers,Vlugt_LaatsteOffer,Launspach_1953,Moor_SchilderEnMeisje,Grunberg_ManZonderZiekte,Beijnum_SoortFamilie,Verhoef_Tegenlicht,Vuijsje_AlleenMaarNette,Loo_GroteMoeder,Giphart_ZevenJaarGoede
0,6,5,4,6,4,6,6,2,,,,,,,,,,,,
1,6,2,5,5,3,5,2,2,,,,,,,,,,,,
2,5,6,3,5,6,6,3,4,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0
3,4,6,5,4,4,5,6,5,,,,,,,,,,,,
4,6,7,3,5,3,5,6,3,,,,,,,,,,,,
5,5,6,3,5,7,6,3,4,5.0,5.0,5.0,4.0,7.0,2.0,,,,,,
6,4,4,6,5,6,6,5,5,,,,,,,,,,,,
7,4,5,5,5,5,5,5,5,5.0,4.0,5.0,4.0,5.0,5.0,,,,,,
8,2,6,5,4,6,6,5,2,,,,,,,,,,,,
9,3,3,5,4,5,3,5,4,6.0,4.0,4.0,6.0,3.0,3.0,,,,,,
10,7,7,6,6,5,6,7,3,,,,,,,,,,,,
11,4,7,1,3,4,6,5,1,,,,,,,,,,,,
12,4,7,5,6,5,6,6,4,5.0,4.0,5.0,4.0,4.0,6.0,5.0,4.0,5.0,6.0,3.0,5.0
13,2,5,1,1,4,1,3,4,,,,,,,,,,,,
14,6,6,4,5,2,6,4,3,,,,,,,,,,,,
15,2,7,1,5,6,1,5,6,6.0,1.0,4.0,3.0,3.0,5.0,,,,,,
16,7,7,4,4,5,5,6,6,,,,,,,,,,,,
17,3,6,1,3,2,6,5,6,5.0,5.0,4.0,4.0,5.0,5.0,,,,,,
18,3,5,2,6,5,3,4,6,,,,,,,,,,,,
19,6,6,2,3,2,6,6,1,,,,,,,,,,,,
20,4,6,2,3,4,6,5,5,,,,,,,,,,,,
21,1,3,3,3,5,4,5,1,,,,,,,,,,,,
22,4,6,5,4,4,4,4,6,,,,,,,,,,,,
23,6,6,4,4,5,6,5,6,,,,,,,,,,,,
24,3,6,1,3,5,4,4,1,3.0,2.0,2.0,1.0,6.0,6.0,6.0,4.0,2.0,3.0,5.0,5.0
25,5,7,3,3,6,5,5,4,,,,,,,,,,,,
26,6,7,6,4,6,6,5,5,,,,,,,,,,,,
27,3,5,3,4,2,5,4,3,4.0,5.0,4.0,5.0,6.0,5.0,,,,,,
28,6,4,3,2,6,3,3,2,,,,,,,,,,,,
29,5,7,3,4,6,4,3,2,5.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0
30,2,6,3,4,4,5,5,4,,,,,,,,,,,,
31,6,6,3,5,5,6,4,6,,,,,,,,,,,,
32,4,6,4,5,2,6,5,4,5.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0
33,5,7,2,5,5,5,5,6,3.0,4.0,3.0,6.0,5.0,6.0,,,,,,
34,2,6,2,3,5,5,6,2,,,,,,,,,,,,
35,3,5,2,4,5,2,2,5,6.0,1.0,2.0,6.0,5.0,2.0,,,,,,
36,5,6,3,2,3,6,4,5,,,,,,,,,,,,
37,5,6,5,6,4,5,6,3,,,,,,,,,,,,
38,2,4,5,6,5,4,1,5,,,,,,,,,,,,
39,4,7,3,5,5,2,5,6,,,,,,,,,,,,
40,5,6,5,5,4,5,6,5,,,,,,,,,,,,
41,6,7,5,6,6,7,6,6,,,,,,,,,,,,
42,5,7,3,6,3,2,4,6,,,,,,,,,,,,
43,6,7,4,5,4,6,6,6,,,,,,,,,,,,
44,5,6,3,4,6,5,6,4,,,,,,,,,,,,
45,1,5,1,2,5,6,7,5,6.0,5.0,6.0,6.0,6.0,7.0,,,,,,
46,4,6,2,5,6,5,3,2,,,,,,,,,,,,
47,5,6,1,2,1,5,3,2,,,,,,,,,,,,
